"site","local_deployment_time","field_sex","ring","mark","tag_id","tag_type","lat","lon"
"TP",2024-10-16 17:20:00,"F","CP19920","Flag-T7","266408","PTT",-46.605474,168.431121
"TP",2024-10-16 17:24:00,"F","CP19921","Flag-TH","266449","PTT",-46.606263,168.431945
"TP",2024-10-17 10:48:00,"M","CP19922","Flag-T9","266453","PTT",-46.606263,168.431945
"TP",2024-10-17 11:53:00,"M","CP19923","Flag-2T","266417","PTT",-46.606197,168.433515
"TP",2024-10-17 12:38:00,"F","CP19924","Flag-TL","266399","PTT",-46.606048,168.434149
"KT",2024-10-21 11:33:00,"M","CP19925","Flag-KP","0AB3","GPS",-43.852224,172.397839
"KT",2024-10-21 00:21:35,"F","CP19926","Flag-KM","0AB6","GPS",-43.852069,172.397974
"KT",2024-10-22 10:49:00,"F","CP19927","Flag-L8","0AA7","GPS",-43.846432,172.433641
"TP",2024-10-16 13:42:00,"F","CP19987","Flag-TK","266438","PTT",NA,NA
"KT",2024-10-01 12:09:00,"F",NA,"Flag-2K","266451","PTT",-43.826873,172.679532
